url,title,partner,enroll,rating,level,duration,skills,reviews
https://www.coursera.org/specializations/implementacion-marketing-mix,Implementación del Marketing Mix Specialization,IE Business School,"11,458",4.8,Beginner level,4 weeks to complete,"Advertising, Brand Awareness, Brand Loyalty, Brand Management, Brand Strategy, Branding, Customer experience strategy (CX), Integrated Marketing Communications, Marketing, Marketing Channel, Marketing Communications, Merchandising, Peer Review, Product Lifecycle Management, Product Management, Product Strategy, Public Relations, Revenue Management, Retail Management, Strategic Marketing","1,862"
https://www.coursera.org/specializations/managementconsulting,Management Consulting Specialization,Emory University,"34,704",4.8,Beginner level,4 weeks to complete,"Benchmarking, Business Consulting, Business Research, Consultative Approaches, Consulting, Data Cleansing, Data Storytelling, Executive Presence, Interviewing Skills, Lean Six Sigma, Management Consulting, Oral Expression, Presentations, Problem Solving, Proposal Development, Sales Presentations, Six Sigma Methodology, Storytelling","2,346"
https://www.coursera.org/learn/leadership-in-the-family-business,Leadership in the Family Business,Tecnológico de Monterrey,"2,713",,Advanced level,3 weeks to complete,"Conflict Management, Business Leadership, Leadership Development, Business Economics, Entrepreneurship, Business Continuity, Leadership and Management, Strategic Leadership, Succession Planning, Organizational Structure, Decision Making, Governance, Talent Management, Leadership",
https://www.coursera.org/specializations/local-business-marketing,"Local Marketing: SEO, Business Networking, And Website Specialization",Alex Genadinik,,,Beginner level,16 weeks to complete,"Blogs, Copywriting, Events and Conferences, Growth Strategies, Instagram, Keyword Research, Lead Generation, Professional Networking, Promotional Materials, Sales Presentation, Search Engine Optimization, Social Media, Social Media Marketing, Video Production, Web Analytics and SEO, Web Content",
https://www.coursera.org/learn/communicate-with-polish,Communicate with Polish,Harvard Business Review ,,,Intermediate level,1 week to complete,"Organizational Skills, Storytelling, Public Speaking, Data Storytelling, Business Writing, Verbal Communication Skills, Communication, Grammar, Presentations, Concision",
https://www.coursera.org/learn/demandmanagement,Demand management: Breaking down today’s commercial silos,ESSEC Business School,"16,175",4.7,,1 week to complete,"Demand Generation, Hospitality Management, Customer Demand Planning, Digital Marketing, Data-Driven Decision-Making, Asset Management, Forecasting, Business Valuation, Return On Investment, Marketing, Hotel Operations, Revenue Management",372
https://www.coursera.org/learn/familia-empresaria,"La familia empresaria: individuo, dinámica y tiempo",ESADE Business and Law School,"2,179",4.5,,,"Entrepreneurship, Economics, Environmental Social And Corporate Governance (ESG), Demography, Business Transformation, Technology Strategies, Business Management, Industrial and Organizational Psychology, Family Support, Business, International Relations, Innovation, Market Dynamics, Business Leadership, Decision Making, Governance",31
https://www.coursera.org/learn/act-on-digital-world,Digital business - Act on the digital world,École Polytechnique,"3,676",4.6,,1 week to complete,"Digital Transformation, Scalability, Marketing Strategies, Customer experience strategy (CX), Technology Strategies, Customer Acquisition Management, Business, Data-Driven Decision-Making, Business Technologies, Business Transformation, Presentations, Innovation, E-Commerce, Data Management, Business Management",28
https://www.coursera.org/learn/corporate-finance-essentials,Corporate Finance Essentials,IESE Business School,"101,283",4.8,Beginner level,1 week at 10 hours a week,"Business Valuation, Financial Analysis, Cost Estimation, Financial Modeling, Corporate Finance, Return On Investment, Risk Management, Capital Markets, Capital Budgeting, Correlation Analysis, Investments, Portfolio Risk, Financial Management, Portfolio Management","2,553"
https://www.coursera.org/specializations/doing-business-in-china,Doing Business in China Specialization,The Chinese University of Hong Kong,"12,067",4.8,Beginner level,4 weeks to complete,"Brand Management, Business Consulting, Business Development, Business Leadership, Business Planning, Business Strategies, Business Strategy, Competitive Analysis, Consumer Behaviour, Digital Media Strategy, Entrepreneurship, Global Marketing, Go To Market Strategy, Innovation, Market Opportunities, Marketing, Peer Review, Strategic Marketing, Strategic Partnership, Strategic Thinking",659
https://www.coursera.org/learn/packt-beginners-guide-to-business-presentations-and-powerpoint-v7417,Beginner's Guide to Business Presentations and PowerPoint,Packt,,,Beginner level,,"Data Visualization, Sales Presentations, Business Communication",
https://www.coursera.org/learn/introduction-to-management-consulting,Introduction to Management Consulting,Emory University,"51,274",4.8,Beginner level,,"Business Analytics, Client Services, Complex Problem Solving, Problem Solving, Business Strategies, Management Consulting, Analysis, Decision Making, Business Consulting, Change Management, Consulting","1,542"
https://www.coursera.org/learn/genai-for-execs-business-leaders-formulate-your-use-case,GenAI for Execs & Business Leaders: Formulate Your Use Case,IBM,"6,451",4.7,Intermediate level,,"AI Enablement, Brainstorming, LLM Application, Risk Mitigation, AI Product Strategy, New Business Development, Risk Analysis, Business Analysis, Strategic Thinking",132
https://www.coursera.org/learn/business-valuation-approaches,طرق تقييم الشركات | Business Valuation Approaches,Alfaisal University | KLD,,,Beginner level,,"Business Valuation, Competitive Analysis, Financial Analysis, Financial Forecasting, Financial Modeling, Investment Management, Financial Statements, Business Analysis, Risk Analysis",
https://www.coursera.org/learn/risk-return-valuation,"Risk, Return and Valuation",Yunus Social Business Fund Bengaluru,,4.5,Beginner level,3 weeks to complete,"Decision Making, Portfolio Risk, Cost Benefit Analysis, Risk Analysis, Portfolio Management, Cash Flows, Business Risk Management, Environmental Social And Corporate Governance (ESG), Risk Management, Social Impact, Business Valuation, Financial Analysis, Return On Investment, Capital Budgeting, Finance, Corporate Finance",10
https://www.coursera.org/learn/10k-women-2,"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women",Goldman Sachs,"86,381",4.7,,,"Business Metrics, Income Statement, Business Acumen, Financial Acumen, Small Business Accounting, Financial Accounting, Financial Statements, Entrepreneurial Finance, Financial Statement Analysis, Balance Sheet, Financial Analysis, Business Planning","1,376"
https://www.coursera.org/learn/pmp-exam-prep-gaining-business-acumen-for-project-managers,PMP Exam Prep: Gaining Business Acumen for Project Managers,"University of Maryland, College Park",,4.7,Beginner level,questions were repeated too often from knowledge checks to weekly quizzes and final exam.,"Leadership, Project Implementation, Governance Risk Management and Compliance, Strategic Decision-Making, Business Acumen, Cost Management",68
https://www.coursera.org/learn/practical-ai-and-prompting-for-management-professionals,Practical AI and prompting for management professionals,AI Business School,,,Intermediate level,1 week to complete,"Innovation, Business Transformation, Workflow Management, Sales, AI Personalization, Sales Enablement, Large Language Modeling, AI Enablement, Content Creation, Ideation, Artificial Intelligence, Key Management",
https://www.coursera.org/learn/agile-organisation-strategies-for-business-resilience,Agile Organisation: Strategies for Business Resilience,London Business School,"4,731",4.8,Intermediate level,2 weeks to complete,"Team Management, Organizational Change, Business Continuity, Business Planning, Organizational Strategy, Resilience, Crisis Management, Business Strategies, Strategic Planning, Leadership, Strategic Decision-Making, Business Risk Management, Risk Management, Business Operations, Business Management, Leadership Development, Supply Chain Management, Forecasting, Operational Risk, Team Motivation",48
https://www.coursera.org/learn/mastering-business-essentials-accounting,Mastering Business Essentials: Accounting,Emory University,,5.0,Beginner level,,"Cost Accounting, Financial Statements, Financial Accounting, Return On Investment, Accounting, Gross Profit, Financial Analysis, Income Statement, Cash Flows, Balance Sheet, Cash Management, Cost Management, Profit and Loss (P&L) Management, General Accounting, Operating Cost, Business Metrics",12
