url,title,partner,enroll,rating,level,duration,skills,reviews
https://www.coursera.org/learn/aplicaciones-musicales-arduino,Aplicaciones musicales con Arduino,Universidad Nacional Autónoma de México,"3,072",4.6,,,"Electronics, Digital Communications, Embedded Systems, Electronic Components, Physics, Hardware Design, Computer Programming, Music, System Configuration, Creative Design",13
https://www.coursera.org/specializations/music-creation-essentials-theory-writing-production,"Music Creation Essentials: Theory, Writing, and Production Specialization",Skillshare,,,Beginner level,4 weeks to complete,"Creativity, Editing, Instrumental Music, Media Production, Music, Music Performance, Music Theory, Musical Composition, Performing Arts",
https://www.coursera.org/learn/digital-epistemology,Introduction to Digital Epistemology,University of Glasgow ,,,Intermediate level,1 week to complete,"Ethical Standards And Conduct, digital literacy",
https://www.coursera.org/specializations/the-art-of-film-and-video-editing,The Art of Film and Video Editing Specialization,Skillshare,,,Beginner level,4 weeks to complete,"Cinematography, Video Editing",
https://www.coursera.org/learn/exploring-beethoven-piano-sonatas-5,Exploring Beethoven's Piano Sonatas Part 5,Curtis Institute of Music,"2,876",5.0,Intermediate level,,"Music Theory, Music Performance, Music, Classical Music, Music History",48
https://www.coursera.org/specializations/color-grading-beginner-to-intermediate,Color Grading: Beginner to Intermediate Specialization,Skillshare,,,Beginner level,4 weeks to complete,"Cinematography, Color Matching, Color Theory, Editing, File Management, Image Quality, Photography, Post-Production, Video Editing, Video Production, Videography",
https://www.coursera.org/learn/beethoven-piano-sonatas,Exploring Beethoven’s Piano Sonatas,Curtis Institute of Music,"85,109",4.8,,2 weeks to complete,"Music Theory, Instrumental Music, Classical Music, Musical Composition, Music Performance, Music History",612
https://www.coursera.org/learn/archeology,A l’avènement du christianisme : l’archéologie des derniers païens,University of Geneva,"1,616",4.5,Beginner level,2 weeks to complete,"Art History, Ancient History, Case Studies, Culture, World History, Research, Anthropology, Economics, European History",32
https://www.coursera.org/learn/theology-arts-psalms,Psalms and the Arts,Duke University,,4.6,Beginner level,,"Liberal Arts, Storytelling, Aesthetics, Music, Performing Arts, Creativity, Art History",10
https://www.coursera.org/learn/free-will-and-neuroscience,Free Will and Neuroscience,Dartmouth College,"2,403",4.6,,,"Human Learning, Anatomy, Physiology, Biology, Neurology, Experimentation, Mindfulness, Psychology",10
https://www.coursera.org/learn/ableton-live,Introduction to Ableton Live,Berklee,"90,134",4.8,Beginner level,1 week at 10 hours a week,"Media Production, Music, Creativity, Musical Composition, Editing, Music Performance, File Management, Automation, Technical Support","1,118"
https://www.coursera.org/learn/kierkegaard,"Søren Kierkegaard - Subjectivity, Irony and the Crisis of Modernity",University of Copenhagen,"61,295",4.8,,2 weeks to complete,"Political Sciences, Sociology, Liberal Arts, Research, Writing, European History",724
